symbol;company;sector;industry;pe_ratio
MMM;3M Company;Industrials;Industrial Conglomerates;18,3167800
ABT;Abbott Laboratories;Health Care;Health Care Equipment;57,6662140
ABBV;AbbVie Inc.;Health Care;Pharmaceuticals;22,4380510
ABMD;ABIOMED Inc;Health Care;Health Care Equipment;45,6399300
ACN;Accenture plc;Information Technology;IT Consulting & Other Services;27,0023270
ATVI;Activision Blizzard;Communication Services;Interactive Home Entertainment;20,1359650
ADBE;Adobe Systems Inc;Information Technology;Application Software;55,9390750
AMD;Advanced Micro Devices Inc;Information Technology;Semiconductors;116,8674700
AAP;Advance Auto Parts;Consumer Discretionary;Automotive Retail;26,1680340
AES;AES Corp;Utilities;Independent Power Producers & Energy Traders;16,5612660
AMG;Affiliated Managers Group Inc;Financials;Asset Management & Custody Banks;NA
AFL;AFLAC Inc;Financials;Life & Health Insurance;13,4483600
A;Agilent Technologies Inc;Health Care;Health Care Equipment;21,3011900
APD;Air Products & Chemicals Inc;Materials;Industrial Gases;28,9470940
AKAM;Akamai Technologies Inc;Information Technology;Internet Services & Infrastructure;37,4047660
ALK;Alaska Air Group Inc;Industrials;Airlines;17,6463900
ALB;Albemarle Corp;Materials;Specialty Chemicals;10,6134480
ARE;Alexandria Real Estate Equities;Real Estate;Office REITs;43,4319880
ALXN;Alexion Pharmaceuticals;Health Care;Biotechnology;71,1009700
ALGN;Align Technology;Health Care;Health Care Supplies;61,0857350
ALLE;Allegion;Industrials;Building Products;23,2815190
AGN;Allergan, Plc;Health Care;Pharmaceuticals;NA
ADS;Alliance Data Systems;Information Technology;Data Processing & Outsourced Services;7,8709600
LNT;Alliant Energy Corp;Utilities;Electric Utilities;22,7297530
ALL;Allstate Corp;Financials;Property & Casualty Insurance;14,7086180
GOOGL;Alphabet Inc Class A;Communication Services;Interactive Media & Services;28,2316500
GOOG;Alphabet Inc Class C;Communication Services;Interactive Media & Services;28,1440980
MO;Altria Group Inc;Consumer Staples;Tobacco;14,6296860
AMZN;Amazon.com Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;79,7904360
AMCR;Amcor plc;Materials;Paper Packaging;12,9952840
AEE;Ameren Corp;Utilities;Multi-Utilities;22,2685450
AAL;American Airlines Group;Industrials;Airlines;10,1250800
AEP;American Electric Power;Utilities;Electric Utilities;22,1135270
AXP;American Express Co;Financials;Consumer Finance;15,8831020
AIG;American International Group;Financials;Property & Casualty Insurance;NA
AMT;American Tower Corp.;Real Estate;Specialized REITs;71,0399500
AWK;American Water Works Company Inc;Utilities;Water Utilities;37,2108420
AMP;Ameriprise Financial;Financials;Asset Management & Custody Banks;11,1910030
ABC;AmerisourceBergen Corp;Health Care;Health Care Distributors;19,6464310
AME;AMETEK Inc.;Industrials;Electrical Components & Equipment;25,4376810
AMGN;Amgen Inc.;Health Care;Biotechnology;14,9222430
APH;Amphenol Corp;Information Technology;Electronic Components;24,5969620
APC;Anadarko Petroleum Corp;Energy;Oil & Gas Exploration & Production;74,0105200
ADI;Analog Devices, Inc.;Information Technology;Semiconductors;27,9975380
ANSS;ANSYS;Information Technology;Application Software;40,9120520
ANTM;Anthem Inc.;Health Care;Managed Health Care;19,4530160
AON;Aon plc;Financials;Insurance Brokers;39,3403000
AOS;A.O. Smith Corp;Industrials;Building Products;18,0841870
APA;Apache Corporation;Energy;Oil & Gas Exploration & Production;NA
AIV;Apartment Investment & Management;Real Estate;Residential REITs;9,0342510
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;16,7224700
AMAT;Applied Materials Inc.;Information Technology;Semiconductor Equipment;12,0471115
APTV;Aptiv Plc;Consumer Discretionary;Auto Parts & Equipment;20,6912920
ADM;Archer-Daniels-Midland Co;Consumer Staples;Agricultural Products;14,1655180
ARNC;Arconic Inc.;Industrials;Aerospace & Defense;17,4659000
ANET;Arista Networks;Information Technology;Communications Equipment;53,3677330
AJG;Arthur J. Gallagher & Co.;Financials;Insurance Brokers;23,3639320
AIZ;Assurant;Financials;Multi-line Insurance;22,5649150
ATO;Atmos Energy Corp;Utilities;Gas Utilities;25,3682700
T;AT&T Inc.;Communication Services;Integrated Telecommunication Services;12,2314360
ADSK;Autodesk Inc.;Information Technology;Application Software;NA
ADP;Automatic Data Processing;Information Technology;Internet Services & Infrastructure;43,5309370
AZO;AutoZone Inc;Consumer Discretionary;Specialty Stores;19,9306810
AVB;AvalonBay Communities, Inc.;Real Estate;Residential REITs;28,6778930
AVY;Avery Dennison Corp;Materials;Paper Packaging;49,9866180
BHGE;Baker Hughes, a GE Company;Energy;Oil & Gas Equipment & Services;74,6884200
BLL;Ball Corp;Materials;Metal & Glass Containers;52,4472240
BAC;Bank of America Corp;Financials;Diversified Banks;10,4535310
BK;The Bank of New York Mellon Corp.;Financials;Asset Management & Custody Banks;11,1910290
BAX;Baxter International Inc.;Health Care;Health Care Equipment;28,1070960
BBT;BB&T Corporation;Financials;Regional Banks;12,3395080
BDX;Becton Dickinson;Health Care;Health Care Equipment;74,1529200
BRK.B;Berkshire Hathaway;Financials;Multi-Sector Holdings;NA
BBY;Best Buy Co. Inc.;Consumer Discretionary;Computer & Electronics Retail;12,3023680
BIIB;Biogen Inc.;Health Care;Biotechnology;10,3314310
BLK;BlackRock;Financials;Asset Management & Custody Banks;17,6627670
HRB;Block H&R;Consumer Discretionary;Specialized Consumer Services;13,6764710
BA;Boeing Company;Industrials;Aerospace & Defense;21,2857060
BKNG;Booking Holdings Inc;Consumer Discretionary;Internet & Direct Marketing Retail;21,2929820
BWA;BorgWarner;Consumer Discretionary;Auto Parts & Equipment;10,1399950
BXP;Boston Properties;Real Estate;Office REITs;42,6551740
BSX;Boston Scientific;Health Care;Health Care Equipment;32,5703120
BMY;Bristol-Myers Squibb;Health Care;Health Care Distributors;15,7133750
AVGO;Broadcom Inc.;Information Technology;Semiconductors;36,5710070
BR;Broadridge Financial Solutions;Information Technology;Data Processing & Outsourced Services;30,3871570
BF.B;Brown-Forman Corp.;Consumer Staples;Distillers & Vintners;NA
CHRW;C. H. Robinson Worldwide;Industrials;Air Freight & Logistics;17,0073740
COG;Cabot Oil & Gas;Energy;Oil & Gas Exploration & Production;14,6072320
CDNS;Cadence Design Systems;Information Technology;Application Software;50,9785730
CPB;Campbell Soup;Consumer Staples;Packaged Foods & Meats;39,2760600
COF;Capital One Financial;Financials;Consumer Finance;7,5774130
CPRI;Capri Holdings;Consumer Discretionary;Apparel, Accessories & Luxury Goods;9,6927380
CAH;Cardinal Health Inc.;Health Care;Health Care Distributors;4470,0000000
KMX;Carmax Inc;Consumer Discretionary;Specialty Stores;17,0156960
CCL;Carnival Corp.;Consumer Discretionary;Hotels, Resorts & Cruise Lines;10,9178180
CAT;Caterpillar Inc.;Industrials;Construction Machinery & Heavy Trucks;12,4548840
CBOE;Cboe Global Markets;Financials;Financial Exchanges & Data;23,3677300
CBRE;CBRE Group;Real Estate;Real Estate Services;16,3430940
CBS;CBS Corp.;Communication Services;Broadcasting;6,3008738
CE;Celanese;Materials;Specialty Chemicals;11,9369770
CELG;Celgene Corp.;Health Care;Biotechnology;15,0639670
CNC;Centene Corporation;Health Care;Managed Health Care;21,6391540
CNP;CenterPoint Energy;Utilities;Multi-Utilities;45,3333320
CTL;CenturyLink Inc;Communication Services;Integrated Telecommunication Services;NA
CERN;Cerner;Health Care;Health Care Technology;37,5664370
CF;CF Industries Holdings Inc;Materials;Fertilizers & Agricultural Chemicals;34,1885950
SCHW;Charles Schwab Corporation;Financials;Investment Banking & Brokerage;15,6872600
CHTR;Charter Communications;Communication Services;Cable & Satellite;69,7578660
CVX;Chevron Corp.;Energy;Integrated Oil & Gas;17,2722240
CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants;99,3371600
CB;Chubb Limited;Financials;Property & Casualty Insurance;17,7361620
CHD;Church & Dwight;Consumer Staples;Household Products;32,4391300
CI;CIGNA Corp.;Health Care;Managed Health Care;14,8511660
XEC;Cimarex Energy;Energy;Oil & Gas Exploration & Production;8,5993930
CINF;Cincinnati Financial;Financials;Property & Casualty Insurance;16,9899270
CTAS;Cintas Corporation;Industrials;Diversified Support Services;30,6529500
CSCO;Cisco Systems;Information Technology;Communications Equipment;19,7883420
C;Citigroup Inc.;Financials;Diversified Banks;9,8923020
CFG;Citizens Financial Group;Financials;Regional Banks;9,5002740
CTXS;Citrix Systems;Information Technology;Internet Software & Services;26,7175370
CLX;The Clorox Company;Consumer Staples;Household Products;25,3510060
CME;CME Group Inc.;Financials;Financial Exchanges & Data;36,9360280
CMS;CMS Energy;Utilities;Multi-Utilities;26,7526020
KO;Coca-Cola Company;Consumer Staples;Soft Drinks;32,7717740
CTSH;Cognizant Technology Solutions;Information Technology;IT Consulting & Other Services;18,4593350
CL;Colgate-Palmolive;Consumer Staples;Household Products;27,2201480
CMCSA;Comcast Corp.;Communication Services;Cable & Satellite;16,5062540
CMA;Comerica Inc.;Financials;Diversified Banks;9,0785380
CAG;Conagra Brands;Consumer Staples;Packaged Foods & Meats;19,5374150
CXO;Concho Resources;Energy;Oil & Gas Exploration & Production;26,3616200
COP;ConocoPhillips;Energy;Oil & Gas Exploration & Production;9,7684580
ED;Consolidated Edison;Utilities;Electric Utilities;20,4235340
STZ;Constellation Brands;Consumer Staples;Distillers & Vintners;10,4570290
COO;The Cooper Companies;Health Care;Health Care Supplies;38,6315080
CPRT;Copart Inc;Industrials;Diversified Support Services;32,6014140
GLW;Corning Inc.;Information Technology;Electronic Components;14,6089630
CTVA;Corteva;Materials;Fertilizers & Agricultural Chemicals;NA
COST;Costco Wholesale Corp.;Consumer Staples;Hypermarkets & Super Centers;32,7021400
COTY;Coty, Inc;Consumer Staples;Personal Products;NA
CCI;Crown Castle International Corp.;Real Estate;Specialized REITs;86,5943900
CSX;CSX Corp.;Industrials;Railroads;19,2441300
CMI;Cummins Inc.;Industrials;Industrial Machinery;11,0270560
CVS;CVS Health;Health Care;Health Care Services;NA
DHI;D. R. Horton;Consumer Discretionary;Homebuilding;10,9326800
DHR;Danaher Corp.;Health Care;Health Care Equipment;42,4357830
DRI;Darden Restaurants;Consumer Discretionary;Restaurants;21,3095460
DVA;DaVita Inc.;Health Care;Health Care Facilities;68,4149500
DE;Deere & Co.;Industrials;Agricultural & Farm Machinery;15,9945480
DAL;Delta Air Lines Inc.;Industrials;Airlines;9,3347790
XRAY;Dentsply Sirona;Health Care;Health Care Supplies;NA
DVN;Devon Energy;Energy;Oil & Gas Exploration & Production;4,5896310
FANG;Diamondback Energy;Energy;Oil & Gas Exploration & Production;19,2580240
DLR;Digital Realty Trust Inc;Real Estate;Specialized REITs;98,4412460
DFS;Discover Financial Services;Financials;Consumer Finance;9,6527090
DISCA;Discovery Inc. Class A;Communication Services;Broadcasting;26,1191500
DISCK;Discovery Inc. Class C;Communication Services;Broadcasting;24,0680870
DISH;Dish Network;Communication Services;Cable & Satellite;13,2237280
DG;Dollar General;Consumer Discretionary;General Merchandise Stores;22,7769570
DLTR;Dollar Tree;Consumer Discretionary;General Merchandise Stores;NA
D;Dominion Energy;Utilities;Electric Utilities;42,7674670
DOV;Dover Corp.;Industrials;Industrial Machinery;26,7014560
DOW;Dow Inc.;Materials;Commodity Chemicals;NA
DTE;DTE Energy Co.;Utilities;Multi-Utilities;20,5856500
